quadratID,speciesID,cover,notes,flowering
ser_2_1,elyca,5-25,,
ser_2_1,moral,5-25,,
ser_2_1,ipohe,5-25,,
ser_2_1,tripr,5-25,,
ser_2_1,sympi,25-50,,
ser_2_1,schsc,5-25,,
ser_2_1,poapr,25-50,,
ser_2_1,agrre,1-5,,
ser_2_1,tarof,1-5,,
ser_2_1,ulmam,1-5,unk1;elm fam?;photo,
ser_2_1,ratpi,1-5,,
ser_2_2,ambtr,5-25,,
ser_2_2,elyca,5-25,,
ser_2_2,setfa,5-25,,
ser_2_2,setpu,5-25,,
ser_2_2,ipohe,1-5,,
ser_2_2,digsa,1-5,,
ser_2_2,schsc,5-25,,
ser_2_2,tarof,1-5,,
ser_2_2,erivi,1-5,,
ser_2_2,heuri,1-5,unk2;photo;parsnippy seedling,
ser_2_3,elyca,50-75,,
ser_2_3,ambtr,5-25,,
ser_2_3,ipohe,1-5,,
ser_2_3,chafa,1-5,,
ser_2_3,boucu,5-25,,
ser_2_3,schsc,5-25,,
ser_2_3,cheal,<1,,
ser_2_4,monfi,5-25,,
ser_2_4,solca,1-5,,
ser_2_4,sympi,5-25,,
ser_2_4,boucu,5-25,,
ser_2_4,poapr,5-25,,
ser_2_4,erivi,25-50,,
ser_2_4,setpu,1-5,,
ser_2_4,broin,1-5,,
ser_2_4,conca,1-5,,
ser_2_4,elyca,1-5,,
ser_2_4,tarof,1-5,,
ser_2_5,xanst,5-25,,
ser_2_5,tripr,25-50,,
ser_2_5,elyca,5-25,,
ser_2_5,solca,5-25,,
ser_2_5,helhe,5-25,,
ser_2_5,chafa,1-5,,
ser_2_5,trire,5-25,,
ser_2_5,tarof,5-25,,
ser_2_5,setfa,25-50,,
ser_2_5,digsa,5-25,,
ser_2_5,conca,1-5,,
ser_2_5,sympi,1-5,,
ser_2_5,ratpi,1-5,,
ser_2_6,sympi,25-50,,
ser_2_6,moral,5-25,,
ser_2_6,tarof,5-25,,
ser_2_6,ipohe,1-5,,
ser_2_6,oxast,1-5,,
ser_2_6,elyca,5-25,,
ser_2_6,poapr,50-75,,
ser_2_7,monfi,50-75,,
ser_2_7,desil,5-25,,
ser_2_7,solca,5-25,,
ser_2_7,helhe,5-25,,
ser_2_7,solpt,5-25,,
ser_2_7,tarof,1-5,,
ser_2_7,elyca,1-5,,
ser_2_8,elyca,25-50,,
ser_2_8,helhe,50-75,,
ser_2_8,ratpi,5-25,,
ser_2_8,monfi,5-25,,
ser_2_9,desca,1-5,,
ser_2_9,asctu,5-25,,
ser_2_9,elyca,25-50,,
ser_2_9,sornu,5-25,,
ser_2_9,poapr,5-25,,
ser_2_9,spohe,5-25,,
ser_2_9,lacse,1-5,,
ser_2_9,andge,1-5,,
ser_2_9,schsc,1-5,,
ser_2_10,elyca,25-50,,
ser_2_10,ascsy,5-25,,
ser_2_10,ratpi,5-25,,
ser_2_10,monfi,1-5,,
ser_2_10,helhe,5-25,,
ser_2_10,spohe,25-50,,
ser_2_10,zizau,5-25,,
ser_2_10,sornu,1-5,,
ser_2_11,monfi,25-50,,
ser_2_11,helhe,5-25,,
ser_2_11,ratpi,5-25,,
ser_2_11,solca,5-25,,
ser_2_11,elyca,5-25,,
ser_2_11,zizau,1-5,,
ser_2_11,lesca,1-5,,
ser_2_11,agrgi,1-5,,
ser_2_11,spohe,5-25,,
ser_2_11,schsc,1-5,,
ser_2_11,dalpu,1-5,,
ser_2_12,helhe,25-50,,
ser_2_12,monfi,5-25,,
ser_2_12,chafa,1-5,,
ser_2_12,dalpu,1-5,,
ser_2_12,dalca,1-5,,
ser_2_12,spohe,25-50,,
ser_2_12,elyca,1-5,,
ser_2_12,schsc,1-5,,
ser_2_12,bapal,1-5,,
ser_2_13,solpt,1-5,,
ser_2_13,ambtr,5-25,,
ser_2_13,sornu,5-25,,
ser_2_13,elyca,25-50,,
ser_2_13,chafa,1-5,,
ser_2_13,potar,1-5,,
ser_2_13,poapr,5-25,,
ser_2_13,ratpi,1-5,,
ser_2_13,spohe,5-25,,
ser_2_13,ipohe,1-5,,
ser_2_13,schsc,1-5,,
ser_2_14,helhe,25-50,,
ser_2_14,dalpu,1-5,,
ser_2_14,schsc,5-25,,
ser_2_14,elyca,5-25,,
ser_2_14,poapr,1-5,,
ser_2_14,spohe,5-25,,
ser_2_15,solpt,5-25,,
ser_2_15,asctu,5-25,,
ser_2_15,ambtr,5-25,,
ser_2_15,elyca,25-50,,
ser_2_15,schsc,5-25,,
ser_2_16,desil,1-5,,
ser_2_16,asctu,5-25,,
ser_2_16,schsc,5-25,,
ser_2_16,elyca,25-50,,
ser_2_16,spohe,5-25,,
ser_2_17,ratpi,5-25,,
ser_2_17,monfi,1-5,,
ser_2_17,dalpu,5-25,,
ser_2_17,schsc,5-25,,
ser_2_17,elyca,25-50,,
ser_2_17,andge,5-25,,
ser_2_17,cheal,1-5,,
ser_2_17,spohe,5-25,,
ser_2_17,ipohe,1-5,,
ser_2_18,ambtr,5-25,,
ser_2_18,moral,5-25,,
ser_2_18,ipohe,1-5,,
ser_2_18,tarof,5-25,,
ser_2_18,solpt,1-5,,
ser_2_18,ratpi,1-5,,
ser_2_18,elyca,50-75,,
ser_2_18,erivi,1-5,,
ser_2_18,poapr,5-25,,
ser_2_18,boucu,1-5,,
ser_2_19,solca,50-75,,
ser_2_19,lacse,1-5,,
ser_2_19,sympi,5-25,,
ser_2_19,elyca,1-5,,
ser_2_19,tarof,1-5,,
ser_2_19,asctu,1-5,,
ser_2_19,spohe,5-25,,
ser_2_19,poapr,1-5,,
ser_2_19,bare_ground,25-50,,
ser_2_20,lacse,50-75,,
ser_2_20,solpt,5-25,,
ser_2_20,sympi,25-50,,
ser_2_20,elyca,5-25,,
ser_2_20,heuri,1-5,unk2,
ser_2_20,rumcr,1-5,,
ser_2_20,setfa,1-5,,
ser_2_20,geuca,1-5,white avens,
ser_2_20,spohe,1-5,,
ser_2_20,eupma,1-5,spotted spurge,
ser_1_1,monfi,25-50,,
ser_1_1,dalca,1-5,,
ser_1_1,asctu,5-25,,
ser_1_1,elyca,1-5,,
ser_1_1,elyvi,5-25,,
ser_1_1,spohe,5-25,,
ser_1_1,andge,1-5,,
ser_1_1,schsc,5-25,,
ser_1_1,sornu,5-25,,
ser_1_1,dalpu,1-5,,
ser_1_2,helhe,25-50,,
ser_1_2,schsc,25-50,,
ser_1_2,ratpi,5-25,,
ser_1_2,chafa,1-5,,
ser_1_2,monfi,1-5,,
ser_1_2,tarof,1-5,,
ser_1_2,ascsy,1-5,,
ser_1_2,spohe,5-25,,
ser_1_2,elyca,5-25,,
ser_1_2,desca,1-5,,
ser_1_2,asctu,1-5,,
