quadratID,speciesID,cover,notes,flowering
nyk_1_1,tarof,25-50,,
nyk_1_1,dalpu,1-5,,
nyk_1_1,trire,5-25,,
nyk_1_1,elyca,5-25,,
nyk_1_1,melof,5-25,,
nyk_1_1,setpu,1-5,,
nyk_1_1,setfa,5-25,,
nyk_1_1,digsa,1-5,,
nyk_1_2,boucu,25-50,,
nyk_1_2,elyca,5-25,,
nyk_1_2,broja,5-25,,
nyk_1_2,tarof,1-5,,
nyk_1_2,dacgl,5-25,,
nyk_1_2,cirar,5-25,,
nyk_1_2,oxast,1-5,,
nyk_1_3,lotco,25-50,,
nyk_1_3,elyca,5-25,,
nyk_1_3,boucu,5-25,,
nyk_1_3,sympi,5-25,,
nyk_1_3,tarof,1-5,,
nyk_1_3,tripr,5-25,,
nyk_1_3,broja,5-25,,
nyk_1_3,schsc,1-5,,
nyk_1_3,andge,5-25,,
nyk_1_3,setpu,1-5,,
nyk_1_4,cirar,5-25,,
nyk_1_4,lotco,25-50,,
nyk_1_4,elyca,5-25,,
nyk_1_4,schsc,25-50,,
nyk_1_4,tarof,5-25,,
nyk_1_4,sornu,5-25,,
nyk_1_4,andge,1-5,,
nyk_1_4,boucu,1-5,,
nyk_2_1,lotco,25-50,,
nyk_2_1,elyca,5-25,,
nyk_2_1,sornu,25-50,,
nyk_2_1,cirar,1-5,,
nyk_2_1,sympi,5-25,,
nyk_2_2,cirar,5-25,,
nyk_2_2,tarof,5-25,,
nyk_2_2,conca,1-5,,
nyk_2_2,boucu,5-25,,
nyk_2_2,elyca,5-25,,
nyk_2_2,dacgl,5-25,,
nyk_2_2,broja,25-50,,
nyk_2_2,sidsp,1-5,seedling;photo;hibtr?,
nyk_2_2,tripr,1-5,,
nyk_2_2,trire,1-5,,
nyk_2_2,lotco,1-5,,
nyk_2_3,elyca,25-50,,
nyk_2_3,sornu,5-25,,
nyk_2_3,schsc,5-25,,
nyk_2_3,tarof,5-25,,
nyk_2_3,sympi,1-5,,
nyk_2_3,cirar,1-5,,
nyk_2_4,elyca,25-50,,
nyk_2_4,cirar,5-25,,
nyk_2_4,lotco,25-50,,
nyk_2_4,tarof,5-25,,
nyk_2_4,tripr,1-5,,
nyk_2_4,plama,1-5,,
nyk_2_4,broja,5-25,,
nyk_2_4,conca,<1,,
nyk_2_4,sympi,<1,,
nyk_3_1,schsc,5-25,,
nyk_3_1,trire,5-25,,
nyk_3_1,sympi,5-25,,
nyk_3_1,dacgl,5-25,,
nyk_3_1,tarof,5-25,,
nyk_3_1,elyca,5-25,,
nyk_3_1,cirar,1-5,,
nyk_3_1,rudhi,5-25,,
nyk_3_1,broja,5-25,,
nyk_3_1,dauca,1-5,,
nyk_3_1,lotco,5-25,,
nyk_3_1,lacse,1-5,,
nyk_3_2,elyca,5-25,,
nyk_3_2,broin,5-25,,
nyk_3_2,boucu,1-5,,
nyk_3_2,sornu,1-5,,
nyk_3_2,broja,5-25,,
nyk_3_2,cirar,5-25,,
nyk_3_2,tarof,5-25,,
nyk_3_2,erian,5-25,,
nyk_3_2,plama,5-25,,
nyk_3_2,setfa,5-25,,
nyk_3_2,dauca,1-5,,
nyk_3_2,rudi,1-5,,
nyk_3_2,poapr,1-5,,
nyk_3_3,plama,5-25,,
nyk_3_3,tarof,25-50,,
nyk_3_3,setfa,5-25,,
nyk_3_3,trire,1-5,,
nyk_3_3,oxast,1-5,,
nyk_3_3,setpu,1-5,,
nyk_3_3,sidsp,1-5,,
nyk_3_3,eupma,1-5,,
nyk_3_3,cirar,5-25,,
nyk_3_3,boucu,1-5,,
nyk_3_3,dacgl,5-25,,
nyk_3_3,horju,1-5,,
nyk_3_3,panca,1-5,sheath and leaves hair,
nyk_4_1,lotco,5-25,,
nyk_4_1,boucu,5-25,,
nyk_4_1,elyca,5-25,,
nyk_4_1,tarof,5-25,,
nyk_4_1,cirar,1-5,,
nyk_4_1,agrre,25-50,,
nyk_4_1,schsc,1-5,,
nyk_4_1,sympi,1-5,,
nyk_4_1,ratpi,1-5,,
nyk_4_1,ambar,1-5,,
nyk_4_2,sidsp,5-25,,
nyk_4_2,tarof,25-50,,
nyk_4_2,setpu,25-50,,
nyk_4_2,broja,5-25,,
nyk_4_2,elyca,5-25,,
nyk_4_2,cirar,5-25,,
nyk_4_3,agrre,25-50,,
nyk_4_3,broin,1-5,,
nyk_4_3,broja,5-25,,
nyk_4_3,cirar,5-25,,
nyk_4_3,symoo,5-25,,
nyk_4_3,calse,1-5,,
nyk_4_3,lotco,5-25,,
nyk_4_3,setfa,5-25,,
nyk_4_3,tripr,5-25,,
nyk_4_3,hibtr,1-5,,
nyk_5_1,medsa,5-25,,
nyk_5_1,dacgl,25-50,,
nyk_5_1,broin,1-5,,
nyk_5_1,monfi,5-25,,
nyk_5_1,desca,1-5,,
nyk_5_1,tripr,5-25,,
nyk_5_1,ratpi,5-25,,
nyk_5_1,tarof,5-25,,
nyk_5_1,elyca,1-5,,
nyk_5_2,broin,1-5,,
nyk_5_2,plama,1-5,,
nyk_5_2,dauca,1-5,,
nyk_5_2,ambar,1-5,,
nyk_5_2,tarof,5-25,,
nyk_5_2,ratpi,5-25,,
nyk_5_2,spohe,5-25,,
nyk_5_2,trire,1-5,,
nyk_5_2,rudhi,5-25,,
nyk_5_2,broja,1-5,,
nyk_5_2,setpu,1-5,,
nyk_5_2,eupma,1-5,,
nyk_5_2,poapr,1-5,,
nyk_5_2,monfi,1-5,,
nyk_5_2,sympi,1-5,,
nyk_5_2,tripr,1-5,,
nyk_5_2,schsc,1-5,,
nyk_5_2,desca,5-25,,
nyk_5_3,tarof,5-25,,
nyk_5_3,cirar,5-25,,
nyk_5_3,rudhi,1-5,,
nyk_5_3,spohe,5-25,,
nyk_5_3,chafa,1-5,,
nyk_5_3,lesca,1-5,,
nyk_5_3,monfi,5-25,,
