quadratID,speciesID,cover,notes,flowering
ges_4_1,physu,5-25,area mowed;hayed,
ges_4_1,cirar,1-5,area mowed;hayed,
ges_4_1,broin,50-75,area mowed;hayed,
ges_4_1,poapr,5-25,area mowed;hayed,
ges_4_1,sornu,5-25,area mowed;hayed,
ges_4_1,andge,1-5,area mowed;hayed,
ges_4_1,fesar,1-5,area mowed;hayed,
ges_4_1,dacgl,1-5,area mowed;hayed,
ges_4_1,setpu,1-5,area mowed;hayed,
ges_4_2,tripr,25-50,area mowed;hayed,
ges_4_2,polpe,1-5,area mowed;hayed,
ges_4_2,helhe,1-5,area mowed;hayed,
ges_4_2,cirar,5-25,area mowed;hayed,
ges_4_2,dacgl,5-25,area mowed;hayed,
ges_4_2,fesar,5-25,area mowed;hayed,
ges_4_2,broin,25-50,area mowed;hayed,
ges_4_2,sornu,1-5,area mowed;hayed,
ges_4_2,amare,<1,area mowed;hayed,
ges_5_1,cirar,5-25,,
ges_5_1,broin,25-50,,
ges_5_1,anevi,5-25,,
ges_5_1,monfi,1-5,,
ges_5_1,ratpi,5-25,,
ges_5_1,elyvi,5-25,,
ges_5_1,andge,1-5,,
ges_5_1,tarof,1-5,,
ges_5_1,brote,1-5,,
ges_3_2,andge,5-25,,
ges_3_2,cirar,5-25,,
ges_3_2,ratpi,5-25,,
ges_3_2,elyvi,5-25,,
ges_3_2,urtdi,1-5,,
ges_3_2,sonar,1-5,,
ges_3_2,monfi,1-5,,
ges_3_2,setfa,5-25,,
ges_3_2,cheal,1-5,,
ges_3_2,amatu,1-5,,
ges_3_2,broin,5-25,,
ges_3_1,elyca,5-25,,
ges_3_1,elyvi,5-25,,
ges_3_1,chafa,1-5,,
ges_3_1,tarof,5-25,,
ges_3_1,setfa,5-25,,
ges_3_1,brote,5-25,,
ges_3_1,sornu,1-5,,
ges_3_1,ratpi,1-5,,
ges_3_1,ambar,5-25,,
ges_3_1,conca,1-5,,
ges_3_1,melof,1-5,,
ges_3_1,oxast,<1,,
ges_2_3,cirar,5-25,,
ges_2_3,ratpi,25-50,,
ges_2_3,desca,5-25,,
ges_2_3,broin,25-50,,
ges_2_3,sornu,1-5,,
ges_2_3,andge,1-5,,
ges_2_3,dacgl,5-25,,
ges_2_2,panvi,25-50,,
ges_2_2,dalpu,5-25,,
ges_2_2,tarof,1-5,,
ges_2_2,elyvi,5-25,,
ges_2_2,cypes,1-5,,
ges_2_2,panca,1-5,,
ges_2_2,sornu,1-5,,
ges_2_2,broin,5-25,,
ges_2_2,setfa,1-5,,
ges_2_2,symer,5-25,,
ges_2_2,fesar,5-25,,
ges_2_1,elyca,1-5,,
ges_2_1,elyvi,5-25,,
ges_2_1,eryyu,5-25,,
ges_2_1,panvi,5-25,,
ges_2_1,tarof,5-25,,
ges_2_1,andge,5-25,,
ges_2_1,ambar,1-5,,
ges_2_1,broin,5-25,,
ges_2_1,sornu,1-5,,
ges_2_1,ratpi,1-5,,
ges_2_1,setpu,1-5,,
ges_1_7,cirar,5-25,,
ges_1_7,ratpi,5-25,,
ges_1_7,broin,25-50,,
ges_1_7,elyca,5-25,,
ges_1_7,elyvi,1-5,,
ges_1_7,setfa,5-25,,
ges_1_7,melof,1-5,,
ges_1_6,ratpi,5-25,,
ges_1_6,desca,5-25,,
ges_1_6,ruehu,5-25,,
ges_1_6,elyca,5-25,,
ges_1_6,sornu,5-25,,
ges_1_6,asctu,1-5,,
ges_1_6,fesar,5-25,,
ges_1_6,tarof,1-5,,
ges_1_6,monfi,1-5,,
ges_1_6,cirar,1-5,,
ges_1_6,andge,1-5,,
ges_1_5,ratpi,5-25,,
ges_1_5,dalpu,5-25,,
ges_1_5,monfi,5-25,,
ges_1_5,sornu,5-25,,
ges_1_5,desca,5-25,,
ges_1_5,elyca,1-5,,
ges_1_5,elyvi,1-5,,
ges_1_5,tarof,1-5,,
ges_1_5,andge,5-25,,
ges_1_5,symer,1-5,,
ges_1_5,eryyu,1-5,,
ges_1_5,spohe,5-25,,
ges_1_4,zizau,5-25,,
ges_1_4,dalpu,1-5,,
ges_1_4,ratpi,5-25,,
ges_1_4,panvi,5-25,,
ges_1_4,sornu,5-25,,
ges_1_4,andge,5-25,,
ges_1_4,brote,1-5,,
ges_1_4,spohe,1-5,,
ges_1_4,broin,1-5,,
ges_1_3,monfi,25-50,,
ges_1_3,ratpi,5-25,,
ges_1_3,panvi,1-5,,
ges_1_3,andge,5-25,,
ges_1_3,sornu,5-25,,
ges_1_3,elyca,5-25,,
ges_1_2,ratpi,25-50,,
ges_1_2,asctu,5-25,,
ges_1_2,elyca,1-5,,
ges_1_2,sornu,5-25,,
ges_1_2,andge,5-25,,
ges_1_2,broin,1-5,,
ges_1_2,elyvi,1-5,,
ges_1_2,dalpu,1-5,,
ges_1_2,bare_ground,5-25,"""thatch"" may be more accurate",
ges_1_1,ratpi,1-5,,
ges_1_1,monfi,5-25,,
ges_1_1,sornu,5-25,,
ges_1_1,broin,5-25,,
ges_1_1,symer,1-5,,
ges_1_1,tripr,1-5,,
ges_1_1,dacgl,1-5,,
ges_1_1,poapr,1-5,,
ges_1_1,andge,5-25,,
ges_1_1,fesar,1-5,,
ges_1_1,tarof,1-5,,
ges_7_1,panvi,5-25,,
ges_7_1,elyvi,25-50,,
ges_7_1,cirar,1-5,,
ges_7_1,desca,5-25,,
ges_7_1,tripr,5-25,,
ges_7_1,elyca,1-5,,
ges_7_1,zizau,5-25,,
ges_7_1,rudhi,5-25,,
ges_7_1,ratpi,1-5,,
ges_7_1,broin,5-25,,
ges_7_1,oxast,1-5,,
ges_7_1,setfa,1-5,,
ges_7_1,fesar,5-25,,
ges_7_1,monfi,5-25,,
ges_7_1,tarof,1-5,,
ges_7_1,lacse,1-5,,
ges_6_3,ratpi,5-25,,
ges_6_3,cirar,25-50,,
ges_6_3,monfi,5-25,,
ges_6_3,andge,5-25,,
ges_6_3,elyca,5-25,,
ges_6_3,sornu,5-25,,
ges_6_2,ratpi,5-25,,
ges_6_2,ambar,5-25,,
ges_6_2,conca,5-25,,
ges_6_2,elyca,25-50,,
ges_6_2,setfa,25-50,,
ges_6_2,tarof,1-5,,
ges_6_2,cheal,1-5,,
ges_6_1,panvi,5-25,,
ges_6_1,ratpi,25-50,,
ges_6_1,lacse,5-25,,
ges_6_1,elyca,5-25,,
ges_6_1,eryyu,1-5,,
ges_6_1,sornu,5-25,,
ges_6_1,ruehu,5-25,,
ges_6_1,helhe,5-25,,
ges_6_1,ambar,1-5,,
ges_6_1,monfi,1-5,,
ges_6_1,andge,5-25,,
ges_8_4,aceru,5-25,,
ges_8_4,monfi,1-5,,
ges_8_4,phaar,5-25,,
ges_8_4,elyvi,25-50,,
ges_8_4,panvi,1-5,,
ges_8_4,broin,5-25,,
ges_8_4,andge,5-25,,
ges_8_4,elyca,1-5,,
ges_8_3,elyca,5-25,,
ges_8_3,elyvi,5-25,,
ges_8_3,ratpi,25-50,,
ges_8_3,monfi,25-50,,
ges_8_3,panvi,1-5,,
ges_8_3,sornu,1-5,,
ges_8_2,solca,5-25,,
ges_8_2,elyca,1-5,,
ges_8_2,elyvi,5-25,,
ges_8_2,cirar,25-50,,
ges_8_2,moral,25-50,,
ges_8_2,conca,1-5,,
ges_8_2,tarof,1-5,,
ges_8_2,urtdi,1-5,,
ges_8_1,ambar,5-25,,
ges_8_1,elyvi,5-25,,
ges_8_1,cirar,5-25,,
ges_8_1,ruehu,5-25,,
ges_8_1,dacgl,25-50,,
ges_8_1,setfa,5-25,,
ges_8_1,tarof,1-5,,
ges_8_1,polpe,1-5,,
ges_9_1,amatu,5-25,,
ges_9_1,phaar,75-95,,
ges_9_1,calse,5-25,,
ges_9_1,setfa,5-25,,
