quadratID,speciesID,cover,notes,flowering
slo_1_1,cirar,25-50,,
slo_1_1,dauca,25-50,,
slo_1_1,elyvi,5-25,,
slo_1_1,lacca,5-25,,
slo_1_1,ratpi,5-25,,
slo_1_1,lacse,5-25,,
slo_1_1,solca,1-5,,
slo_1_1,carvu,1-5,,
slo_1_1,cirdi,1-5,,
slo_1_2,cirar,5-25,,
slo_1_2,solca,50-75,,
slo_1_2,dauca,5-25,,
slo_1_2,elyvi,5-25,,
slo_1_2,solpt,5-25,,
slo_1_2,tarof,1-5,,
slo_1_3,panvi,1-5,,
slo_1_3,cirar,5-25,,
slo_1_3,elyvi,25-50,,
slo_1_3,solri,5-25,,
slo_1_3,carvu,5-25,,
slo_1_3,ruboc,5-25,,
slo_1_3,andge,5-25,,
slo_1_3,ratpi,1-5,,
slo_1_3,schsc,1-5,,
slo_1_4,andge,5-25,,
slo_1_4,helpa,25-50,,
slo_1_4,schsc,5-25,,
slo_1_4,rudhi,1-5,,
slo_1_4,solca,1-5,,
slo_1_4,cirar,1-5,,
slo_1_4,broja,5-25,,
slo_1_5,andge,5-25,,
slo_1_5,elyvi,5-25,,
slo_1_5,panvi,1-5,,
slo_1_5,zizau,25-50,,
slo_1_5,rudhi,5-25,,
slo_1_5,lacse,5-25,,
slo_1_5,schsc,1-5,,
slo_1_5,spoas,1-5,,
slo_1_5,sornu,1-5,,
slo_1_5,lacca,5-25,,
slo_1_6,elyca,1-5,,
slo_1_6,elyvi,50-75,,
slo_1_6,astca,5-25,,
slo_1_6,carvu,5-25,,
slo_1_6,lacse,1-5,,
slo_1_6,zizau,1-5,,
slo_1_6,helhe,1-5,,
slo_1_6,schsc,1-5,,
slo_1_6,agrre,1-5,,
slo_1_7,andge,50-75,,
slo_1_7,elyvi,5-25,,
slo_1_7,carvu,5-25,,
slo_1_7,monfi,5-25,,
slo_1_7,cirar,1-5,,
slo_1_7,solca,5-25,,
slo_1_7,lacse,5-25,,
slo_1_7,solri,1-5,,
slo_2_1,elyvi,25-50,,
slo_2_1,carvu,5-25,,
slo_2_1,cirar,5-25,,
slo_2_1,zizau,5-25,,
slo_2_1,cirdi,1-5,,
slo_2_1,broja,1-5,,
slo_2_1,panvi,1-5,,
slo_2_1,monfi,5-25,,
slo_2_2,dauca,5-25,,
slo_2_2,elyvi,25-50,,
slo_2_2,lacse,5-25,,
slo_2_2,nepca,25-50,agafo?;double check;photo,
slo_2_2,andge,1-5,,
slo_2_2,broin,5-25,,
slo_2_2,panvi,1-5,,
slo_2_2,zizau,1-5,,
slo_2_2,tarof,1-5,,
slo_2_3,elyca,5-25,,
slo_2_3,desca,5-25,,
slo_2_3,andge,5-25,,
slo_2_3,sornu,5-25,,
slo_2_3,elyvi,1-5,,
slo_2_3,monfi,1-5,,
slo_4_1,ascsy,5-25,,
slo_4_1,monfi,5-25,,
slo_4_1,elyvi,25-50,,
slo_4_1,schsc,1-5,,
slo_4_1,andge,5-25,,
slo_4_1,ratpi,1-5,,
slo_4_1,panvi,1-5,,
slo_4_2,solca,25-50,,
slo_4_2,dauca,5-25,,
slo_4_2,elyvi,5-25,,
slo_4_2,elyca,1-5,,
slo_4_2,ratpi,5-25,,
slo_4_2,broin,25-50,,
slo_4_2,andge,1-5,,
slo_4_2,verst,5-25,,
slo_4_3,broin,50-75,,
slo_4_3,verst,1-5,,
slo_4_3,dalpu,5-25,,
slo_4_3,andge,5-25,,
slo_4_3,conca,1-5,,
slo_3_1,dauca,5-25,,
slo_3_1,lacse,1-5,,
slo_3_1,broin,25-50,,
slo_3_1,andge,5-25,,
slo_3_1,sornu,25-50,,
slo_3_1,elyca,5-25,,
slo_3_1,agrre,1-5,,
slo_3_1,tarof,1-5,,
slo_3_1,rudhi,1-5,,
slo_3_2,cirar,5-25,,
slo_3_2,echpa,5-25,,
slo_3_2,broin,25-50,,
slo_3_2,sornu,5-25,,
slo_3_2,andge,25-50,,
slo_3_2,ratpi,5-25,,
slo_3_3,zizau,25-50,,
slo_3_3,andge,5-25,,
slo_3_3,elyvi,1-5,,
slo_3_3,schsc,1-5,,
slo_3_3,cirvu,5-25,,
slo_3_3,tarof,1-5,,
slo_3_3,setfa,1-5,,
slo_3_3,thatch,25-50,,
slo_3_4,elyvi,5-25,,
slo_3_4,sornu,5-25,,
slo_3_4,phaar,25-50,,
slo_3_4,solri,5-25,,
slo_3_4,solca,1-5,,
slo_3_4,andge,5-25,,
slo_3_4,tripr,5-25,,
slo_3_4,verst,1-5,,
slo_3_4,schsc,1-5,,
slo_3_4,spohe,1-5,,
slo_3_5,solca,5-25,,
slo_3_5,sornu,25-50,,
slo_3_5,elyvi,5-25,,
slo_3_5,tarof,1-5,,
slo_3_5,andge,5-25,,
slo_3_5,schsc,5-25,,
slo_3_5,carvu,5-25,,
slo_5_1,monfi,25-50,,
slo_5_1,broin,25-50,,
slo_5_1,elyvi,25-50,,
slo_5_1,solcar,5-25,,
slo_5_1,solpt,1-5,,
slo_5_2,elyvi,25-50,,
slo_5_2,elyca,1-5,,
slo_5_2,sornu,25-50,,
slo_5_2,solri,5-25,,
slo_5_2,andge,5-25,,
slo_5_2,broin,1-5,,
slo_5_2,zizau,<1,,
slo_5_2,schsc,1-5,,
slo_5_3,solri,5-25,,
slo_5_3,elyvi,25-50,,
slo_5_3,sornu,5-25,,
slo_5_3,boucu,5-25,,
slo_5_3,schsc,1-5,,
slo_5_3,andge,5-25,,
slo_5_3,cirar,1-5,,
slo_5_3,ratpi,<1,,
slo_5_4,sornu,5-25,,
slo_5_4,broin,5-25,,
slo_5_4,andge,25-50,,
slo_5_4,zizau,1-5,,
slo_5_4,lacca,5-25,,
slo_5_4,elyvi,5-25,,
slo_5_5,cirar,5-25,,
slo_5_5,elyvi,50-75,,
slo_5_5,helgr,25-50,,
slo_5_5,andge,5-25,,
slo_5_5,schsc,1-5,,
slo_5_6,solca,25-50,,
slo_5_6,elyca,50-75,,
