quadratID,speciesID,cover,notes,flowering
wat_1_1,andge,5-25,,
wat_1_1,ambar,50-75,,
wat_1_1,tripr,25-50,,
wat_1_1,melof,5-25,,
wat_1_1,dacgl,5-25,,
wat_1_1,elyvi,1-5,,
wat_1_1,fesar,5-25,,
wat_1_1,setfa,1-5,,
wat_1_1,solca,1-5,,
wat_1_1,echcr,1-5,,
wat_1_2,ambar,50-75,,
wat_1_2,polpe,5-25,,
wat_1_2,lacse,1-5,,
wat_1_2,tripr,25-50,,
wat_1_2,melof,5-25,,
wat_1_2,echcr,5-25,,
wat_1_2,amatu,1-5,waterhemp,
wat_1_2,broin,5-25,,
wat_1_2,setvi,1-5,,
wat_1_2,setfa,5-25,,
wat_1_2,cheal,1-5,,
wat_1_2,setpu,1-5,,
wat_1_2,dacgl,5-25,,
wat_1_2,urtdi,1-5,,
wat_1_3,ambar,75-95,,
wat_1_3,panvi,5-25,,
wat_1_3,setfa,5-25,,
wat_1_3,broin,1-5,,
wat_1_3,tarof,1-5,,
wat_1_3,trire,5-25,,
wat_1_3,setvi,1-5,,
wat_1_3,setpu,1-5,,
wat_1_3,rudhi,1-5,,
wat_1_3,solca,1-5,,
wat_1_3,dacgl,1-5,,
wat_1_4,andge,5-25,,
wat_1_4,panvi,5-25,,
wat_1_4,ambar,25-50,,
wat_1_4,helhe,5-25,,
wat_1_4,dacgl,5-25,,
wat_1_4,dauca,5-25,,
wat_1_4,cheal,1-5,,
wat_1_4,tripr,25-50,,
wat_1_4,setfa,5-25,,
wat_1_4,eupma,1-5,,
wat_1_4,phlpr,1-5,,
wat_1_4,echcr,1-5,,
wat_1_4,solca,1-5,,
wat_1_4,pandi,5-25,,
wat_1_5,ambar,50-75,,
wat_1_5,andge,5-25,,
wat_1_5,elyca,5-25,,
wat_1_5,tripr,25-50,,
wat_1_5,solca,5-25,,
wat_1_5,dauca,5-25,,
wat_1_5,medlu,1-5,took photo;double check,
wat_1_5,setpu,1-5,,
wat_1_5,urtdi,1-5,,
wat_1_5,dacgl,1-5,,
wat_1_5,setfa,5-25,,
wat_1_5,helpa,1-5,unk1;rough leaf sunflower family (asteracea);taking photo,
wat_1_5,bidfr,1-5,,
wat_1_6,ambar,25-50,,
wat_1_6,tripr,25-50,,
wat_1_6,sympi,5-25,,
wat_1_6,solca,5-25,,
wat_1_6,setfa,5-25,,
wat_1_6,tarof,1-5,,
wat_1_6,potar,1-5,,
wat_1_6,medlu,1-5,,
wat_1_6,trire,5-25,,
wat_1_6,elyca,1-5,,
wat_1_7,ambar,50-75,,
wat_1_7,tripr,5-25,,
wat_1_7,phlpr,5-25,,
wat_1_7,trire,5-25,,
wat_1_7,dacgl,5-25,,
wat_1_7,setpu,5-25,,
wat_1_7,broin,1-5,,
wat_1_7,oxast,1-5,,
wat_1_8,panvi,5-25,,
wat_1_8,ambar,25-50,,
wat_1_8,sympi,5-25,,
wat_1_8,tripr,5-25,,
wat_1_8,medlu,5-25,,
wat_1_8,digsa,1-5,,
wat_1_8,conca,1-5,,
wat_1_8,setpu,5-25,,
wat_1_8,oxast,1-5,,
wat_1_8,broin,5-25,,
wat_1_8,cheal,1-5,,
wat_1_8,plama,1-5,,
wat_1_8,helhe,1-5,,
wat_1_9,ambar,50-75,,
wat_1_9,panvi,5-25,,
wat_1_9,elyca,1-5,,
wat_1_9,dacgl,25-50,,
wat_1_9,ipopu,1-5,ipomoea spp; purple blue;took photo,
wat_1_9,setpu,5-25,,
wat_1_9,tripr,5-25,,
wat_1_9,solca,1-5,,
wat_1_9,passa,1-5,,
wat_1_9,sidsp,1-5,unk2;photo(found at NYK),
wat_1_10,ambar,50-75,,
wat_1_10,panvi,1-5,,
wat_1_10,andge,5-25,,
wat_1_10,elyca,1-5,,
wat_1_10,dacgl,5-25,,
wat_1_10,dauca,1-5,,
wat_1_10,digsa,1-5,,
wat_1_10,setfa,1-5,,
wat_1_10,oxast,1-5,,
wat_1_10,ratpi,1-5,,
