full_name,common_name,family,native,life_cycle,group,code,alternate_name
abutilon theophrasti,velvetleaf,malvaceae,introduced,annual,forb,abuth,buttonweed
achillea millefolium,western yarrow,asteraceae,native,perennial,forb,achmi,
agastache foeniculum,anise hyssop,lamiaceae,native,perennial,forb,agafo,blue giant hyssop
agropyron repens,quackgrass,poaceae ,introduced,perennial,C3 grass,agrre,
agropyron smithii,western wheatgrass,poaceae ,native,perennial,C3 grass,agrsm,
agropyron trachycaulum,slender wheat grass,poaceae ,native,perennial,C3 grass,agrtr,
allium canadense,wild garlic,amaryllidaceae,introduced,annual,forb,allca,canada garlic
allium cernuum,nodding wild onion,amaryllidaceae,introduced,annual,forb,allce,
allium stellatum,prairie onion,amaryllidaceae,introduced,annual,forb,allst,
amaranthus palmeri,palmer amaranth,amaranthaceae,introduced,annual,forb,amapa,
amaranthus tuberculatus,waterhemp,amaranthaceae,introduced,annual,forb,amatu,
ambrosia artemisiifolia,common ragweed,asteraceae,native,annual,weedy forb,ambar,
ambrosia trifida,giant ragweed,asteraceae,native,annual,weedy forb,ambtr,
amorpha canescens,lead plant,fabaceae,native,perennial,forb,amoca,
andropogon gerardii,big bluestem,poaceae ,native ,perennial,C4 grass,andge,
anemone canadensis,canada anemone,ranunculaceae,native,perennial,forb,aneca,
anemone virginiana,tall thimbleweed,ranunculaceae,native,perennial,forb,anevi,
aquilegia canadensis,red columbine,ranunculaceae,native,perennial,forb,aquca,
arctium minus,common burdock,asteraceae,introduced,biennial,forb,arcmi,
artemisia ludoviciana,white prairie sage,asteraceae,native,perennial,forb,artlu,
ascelpias syriaca,common milkweed,asclepiadaceae,native,perennial,weedy forb,ascsy,
asclepias incarnata,swamp milkweed,asclepiadaceae,native,perennial,forb,ascin,
asclepias tuberosa,butterfly milkweed,asclepiadaceae,native,perennial,forb,asctu,
asclepias verticillata,whorled milkweed,asclepiadaceae,native,perennial,forb,ascve,
astragalus canadensis,canadian milk vetch,fabaceae,native,perennial,forb,astca,
baptisia alba,wild white indigo,fabaceae,native,perennial,forb,bapal,false white indigo
baptisia australis,blue indigo,fabaceae,native,perennial,forb,bapau,blue false indigo
bouteloua curtipendula,side oats grama ,poaceae ,native ,perennial,C4 grass,boucu,
brickellia eupatorioides,false boneset,asteraceae,native,perennial,forb,brieu,
bromus inermis,smooth brome,poaceae ,introduced,perennial,C3 grass,broin,
bromus tectorum,downy brome,poaceae ,introduced,annual,C3 grass,brote,cheatgrass
carduus nutans,musk thistle,asteraceae,introduced,biennial,forb,carnu,
carex vulpinoidea,brown  fox sedge,cyperaceae,native,perennial,sedge,carvu,
castilleja coccinea,indian paintbrush,scrophulariaceae,native ,perennial,forb,casco,
chamaecrista fasciculata,partridge pea,fabaceae,native,annual,forb,chafa,
chenopodium album,lambsquarters,chenopodiaceae,introduced,annual,forb,cheal,
cirsium altissimum,tall thistle,asteraceae,native,biennial,forb,ciral,
cirsium arvense,canada thistle,asteraceae,introduced,perennial,forb,cirar,field thistle
conyza canadensis,marestail,asteraceae,native,annual,weedy forb,conca,horseweed
coreopsis palmata,prairie coreopsis,asteraceae,native,perennial,forb,corpa,
coreopsis tinctoria,plains coreopsis,asteraceae,native,perennial,forb,corti,golden tickseed
dactylis glomerata,orchard grass,poaceae ,introduced,perennial,C3 grass,dacgl,
dalea candida,white prairie clover,fabaceae,native,perennial,forb,dalca,
dalea purpurea,purple prairie clover,fabaceae,native,perennial,forb,dalpu,
daucus carota,queen anne's lace,apiaceae,introduced,biennial,forb,dauca,
desmanthus illinoensis,prairie mimosa,fabaceae,native,perennial,forb,desil,Illinois bundle flower
desmodium canadense,showy ticktrefoil,fabaceae,native,perennial,forb,desca,
digitaria sanguinalis,large crabgrass,poaceae ,introduced,annual,C4 grass,digsa,
echinacea pallida,pale purple coneflower,asteraceae,native,perennial,forb,echpa,
echinacea purpurea,purple coneflower,asteraceae,native,perennial,forb,echpu,
echinochloa crus-galli,barnyardgrass,poaceae ,introduced,annual,C4 grass,echcr,
elymus canadensis,canada wildrye,poaceae ,native,perennial,C3 grass,elyca,
elymus virginicus,virginia wildrye,poaceae ,native,perennial,C3 grass,elyvi,
eriochloa villosa,wooly cupgrass,poaceae ,introduced,annual,C3 grass,erivi,
eryngium yuccifolium,rattlesnake master,apiaceae,native,perennial,forb,eryyu,
eupatorium purpureum,purple joe pye weed,asteraceae,native,perennial,forb,euppu,sweet joe pye weed
euphorbia collorata,flowering spurge,euphorbiaceae,native,perennial,forb,eupco,
gaillardia aristata,blanket flower,asteraceae,native,perennial,forb,gaiar,
gaillardia pulchella,indian blanket,asteraceae,native,annual,forb,gaipu,
gaura biennis,biennial guara,onagraceae,native,biennial,forb,gaubi,biennial beeblossom
